uid,title,album_uid,track_n,artist_uid
3026fe28-2452-4e8f-8099-d9f02855f711,Death On Two Legs (Dedicated To...),1e2d0f66-a7d2-4988-8685-4aa432671e21,0,b0a249ba-a797-4708-82b7-f1c1898b1d27
ae2e2e6a-fd48-41cd-86c6-6eaae4aa3a53,Lazing On A Sunday Afternoon,1e2d0f66-a7d2-4988-8685-4aa432671e21,1,b0a249ba-a797-4708-82b7-f1c1898b1d27
c4e32b53-cb34-4b84-8fdd-967ea573e7f0,I'm In Love With My Car,1e2d0f66-a7d2-4988-8685-4aa432671e21,2,b0a249ba-a797-4708-82b7-f1c1898b1d27
aabc4b6e-55bb-456d-87f1-aeec7b441517,You're My Best Friend,1e2d0f66-a7d2-4988-8685-4aa432671e21,3,b0a249ba-a797-4708-82b7-f1c1898b1d27
26372edf-b449-4a4a-aab8-bb1efeb0ecdf,39',1e2d0f66-a7d2-4988-8685-4aa432671e21,4,b0a249ba-a797-4708-82b7-f1c1898b1d27
d78e88c1-e5d7-41ef-b79b-78698ed1916e,Sweet Lady,1e2d0f66-a7d2-4988-8685-4aa432671e21,5,b0a249ba-a797-4708-82b7-f1c1898b1d27
2c6e6fa2-5452-47eb-98b5-4b940b7bed1b,Seaside Rendezvous,1e2d0f66-a7d2-4988-8685-4aa432671e21,6,b0a249ba-a797-4708-82b7-f1c1898b1d27
8b6f2e67-2293-4c92-a4b8-f2df4ac5e65a,The Prophet's Song,1e2d0f66-a7d2-4988-8685-4aa432671e21,7,b0a249ba-a797-4708-82b7-f1c1898b1d27
c50dbed7-1fbe-4b34-b411-861b6e85950a,Love Of My Life,1e2d0f66-a7d2-4988-8685-4aa432671e21,8,b0a249ba-a797-4708-82b7-f1c1898b1d27
3cb75f79-d7f0-4bb5-89f8-57e2981e7fe0,Good Company,1e2d0f66-a7d2-4988-8685-4aa432671e21,9,b0a249ba-a797-4708-82b7-f1c1898b1d27
d504bdeb-3438-4459-a6c2-7ef2e8975954,Bohemian Rapsody,1e2d0f66-a7d2-4988-8685-4aa432671e21,10,b0a249ba-a797-4708-82b7-f1c1898b1d27
f2395e10-f477-44ec-932d-a37ae7ccdad3,God Save The Queen,1e2d0f66-a7d2-4988-8685-4aa432671e21,11,b0a249ba-a797-4708-82b7-f1c1898b1d27
278a6992-592d-45e5-9f92-070c982af43c,Creep,fc49cb6f-99a1-4a12-8da0-8bd14b76fbf3,0,37187d68-31f8-4134-9b82-e068d6fd9077
0c44492e-e4c8-4111-9f3a-df0c1c25ad87,Creep (Acoustic),fc49cb6f-99a1-4a12-8da0-8bd14b76fbf3,1,37187d68-31f8-4134-9b82-e068d6fd9077
ccba7c3f-f945-4d3b-a350-8e22bf9d322b,Dog Days Are Over,d8ac717d-fd47-49a3-8c1f-c08ca94bb92d,0,a07ed3c4-cb16-4816-87c4-dc40704b877c
66adb31b-336b-48df-b5fa-69e498a4c0e8,Let It Go,4965700f-f326-4093-b7df-9c0a92fb13df,0,e884390d-1a31-46d4-8a42-855ed036e340
